,applNum,displayId,filingDate,inventionTitle,issueDate,patAssigneeName,patAssignorExDate,patAssignorName,patNum
0,15215026,047783-0826,2016-07-20T04:00:00Z,NEW COMPOUNDS,0001-01-01T00:00:00Z,BENEVOLENTAI CAMBRIDGE LIMITED,2018-02-21T04:00:00Z,PROXIMAGEN LIMITED,NULL
1,15592556,047783-0826,2017-05-11T04:00:00Z,"IMIDAZO[4,5-C]PYRIDINE AND PYRROLO[2,3-C]PYRIDINE DERIVATIVES AS SSAO INHIBITORS",2018-04-24T04:00:00Z,BENEVOLENTAI CAMBRIDGE LIMITED,2018-02-21T04:00:00Z,PROXIMAGEN LIMITED,9951068
2,15506847,047783-0826,2017-02-27T04:00:00Z,"IMIDAZO[4,5-C]PYRIDINE DERIVED SSAO INHIBITORS",0001-01-01T00:00:00Z,BENEVOLENTAI CAMBRIDGE LIMITED,2018-02-21T04:00:00Z,PROXIMAGEN LIMITED,NULL
3,15506885,047783-0826,2017-02-27T04:00:00Z,"SUBSTITUTED IMIDAZO[4,5-c]PYRIDINES AS SSAO INHIBITORS",2018-09-04T04:00:00Z,BENEVOLENTAI CAMBRIDGE LIMITED,2018-02-21T04:00:00Z,PROXIMAGEN LIMITED,10065954
4,15745947,047783-0826,2018-01-18T04:00:00Z,NEW THERAPEUTIC COMPOUND AND USE IN THERAPY,0001-01-01T00:00:00Z,BENEVOLENTAI CAMBRIDGE LIMITED,2018-02-21T04:00:00Z,PROXIMAGEN LIMITED,NULL
5,13878968,047783-0826,2013-06-11T04:00:00Z,CXCR4 Receptor Antagonists,2016-05-31T04:00:00Z,BENEVOLENTAI CAMBRIDGE LIMITED,2018-02-21T04:00:00Z,PROXIMAGEN LIMITED,9353086
6,14208056,047783-0826,2014-03-13T04:00:00Z,"Substituted Imidazo[4,5-c]pyridine Compounds and Compositions Thereof.",2016-08-30T04:00:00Z,BENEVOLENTAI CAMBRIDGE LIMITED,2018-02-21T04:00:00Z,PROXIMAGEN LIMITED,9428498
7,14775046,047783-0826,2015-09-11T04:00:00Z,"IMIDAZO[4,5-C]PYRIDINE AND PYRROLO[2,3-C]PYRIDINE DERIVATIVES AS SSAO INHIBITORS",2017-06-13T04:00:00Z,BENEVOLENTAI CAMBRIDGE LIMITED,2018-02-21T04:00:00Z,PROXIMAGEN LIMITED,9676769
8,14774749,047783-0826,2015-09-11T04:00:00Z,NEW COMPOUNDS,2017-02-28T04:00:00Z,BENEVOLENTAI CAMBRIDGE LIMITED,2018-02-21T04:00:00Z,PROXIMAGEN LIMITED,9580415
9,15781936,049453-0435,2018-06-06T04:00:00Z,VAP-1 INHIBITORS FOR TREATING PAIN,0001-01-01T00:00:00Z,BENEVOLENTAI CAMBRIDGE LIMITED,2018-02-21T04:00:00Z,BENEVOLENTAI CAMBRIDGE LIMITED,NULL
10,15335751,048676-0176,2016-10-27T04:00:00Z,NEW COMPOUNDS I,2018-02-13T04:00:00Z,BENEVOLENTAI CAMBRIDGE LIMITED,2018-02-21T04:00:00Z,BENEVOLENTAI CAMBRIDGE LIMITED,9890160
