,applNum,displayId,filingDate,inventionTitle,issueDate,patAssigneeName,patAssignorExDate,patAssignorName,patNum
0,09252912,010029-0239,1999-02-19T04:00:00Z,METHOD FOR DETERMINING DISCRETE QUANTITATIVE STRUCTURE ACTIVITY RELATIONSHIPS,2004-02-10T04:00:00Z,CHEMICAL COMPUTING GROUP INC.,1999-05-17T04:00:00Z,"LABUTE, PAUL R.",6691045
1,10699459,015112-0557,2003-11-03T04:00:00Z,Method for determining discrete quantitative structure activity relationships,0001-01-01T00:00:00Z,CHEMICAL COMPUTING GROUP INC.,2004-03-04T04:00:00Z,"LABUTE, PAUL",NULL
2,11823697,021298-0887,2007-06-27T04:00:00Z,Systems and methods for mapping binding site volumes in macromolecules,0001-01-01T00:00:00Z,"CHEMICAL COMPUTING GROUP, INC.",2008-07-24T04:00:00Z,"WILLIAMS, CHRISTOPHER IAN",NULL
3,09252912,042511-0237,1999-02-19T04:00:00Z,METHOD FOR DETERMINING DISCRETE QUANTITATIVE STRUCTURE ACTIVITY RELATIONSHIPS,2004-02-10T04:00:00Z,CHEMICAL COMPUTING GROUP ULC,2017-04-28T04:00:03Z,1115354 B.C. UNLIMITED LIABILITY COMPANY,6691045
4,09252912,042511-0066,1999-02-19T04:00:00Z,METHOD FOR DETERMINING DISCRETE QUANTITATIVE STRUCTURE ACTIVITY RELATIONSHIPS,2004-02-10T04:00:00Z,CHEMICAL COMPUTING GROUP ULC,2017-04-28T04:00:00Z,"CHEMICAL COMPUTING GROUP, INC.",6691045
5,11823697,047129-0839,2007-06-27T04:00:00Z,Systems and methods for mapping binding site volumes in macromolecules,0001-01-01T00:00:00Z,CHEMICAL COMPUTING GROUP ULC,2018-09-21T04:00:00Z,NATIONAL BANK OF CANADA,NULL
6,09252912,047129-0839,1999-02-19T04:00:00Z,METHOD FOR DETERMINING DISCRETE QUANTITATIVE STRUCTURE ACTIVITY RELATIONSHIPS,2004-02-10T04:00:00Z,CHEMICAL COMPUTING GROUP ULC,2018-09-21T04:00:00Z,NATIONAL BANK OF CANADA,6691045
7,11823697,047159-0509,2007-06-27T04:00:00Z,Systems and methods for mapping binding site volumes in macromolecules,0001-01-01T00:00:00Z,CHEMICAL COMPUTING GROUP ULC,2018-09-26T04:00:00Z,BDC CAPITAL INC.,NULL
8,09252912,047159-0509,1999-02-19T04:00:00Z,METHOD FOR DETERMINING DISCRETE QUANTITATIVE STRUCTURE ACTIVITY RELATIONSHIPS,2004-02-10T04:00:00Z,CHEMICAL COMPUTING GROUP ULC,2018-09-26T04:00:00Z,BDC CAPITAL INC.,6691045
9,09252912,042521-0883,1999-02-19T04:00:00Z,METHOD FOR DETERMINING DISCRETE QUANTITATIVE STRUCTURE ACTIVITY RELATIONSHIPS,2004-02-10T04:00:00Z,NATIONAL BANK OF CANADA,2017-04-28T04:00:01Z,CHEMICAL COMPUTING GROUP ULC,6691045
10,09252912,042521-0876,1999-02-19T04:00:00Z,METHOD FOR DETERMINING DISCRETE QUANTITATIVE STRUCTURE ACTIVITY RELATIONSHIPS,2004-02-10T04:00:00Z,BDC CAPITAL INC.,2017-04-28T04:00:02Z,CHEMICAL COMPUTING GROUP ULC,6691045
11,09252912,042511-0066,1999-02-19T04:00:00Z,METHOD FOR DETERMINING DISCRETE QUANTITATIVE STRUCTURE ACTIVITY RELATIONSHIPS,2004-02-10T04:00:00Z,CHEMICAL COMPUTING GROUP ULC,2017-04-28T04:00:00Z,"CHEMICAL COMPUTING GROUP, INC.",6691045
12,09252912,042584-0902,1999-02-19T04:00:00Z,METHOD FOR DETERMINING DISCRETE QUANTITATIVE STRUCTURE ACTIVITY RELATIONSHIPS,2004-02-10T04:00:00Z,1115354 B.C. UNLIMITED,2017-04-28T04:00:00Z,CHEMICAL COMPUTING GROUP ULC,6691045
13,09252912,047284-0910,1999-02-19T04:00:00Z,METHOD FOR DETERMINING DISCRETE QUANTITATIVE STRUCTURE ACTIVITY RELATIONSHIPS,2004-02-10T04:00:00Z,CARLYLE GLOBAL CREDIT INVESTMENT MANAGEMENT L.L.C.,2018-08-30T04:00:00Z,CHEMICAL COMPUTING GROUP ULC,6691045
