,applNum,displayId,filingDate,inventionTitle,issueDate,patAssigneeName,patAssignorExDate,patAssignorName,patNum
0,11118090,020092-0220,2005-04-29T04:00:00Z,Compositions and treatments for inhibiting kinase and/or HMG-CoA reductase,0001-01-01T00:00:00Z,"NUMERATE, INC.",2007-09-28T04:00:00Z,PHARMIX CORP.,NULL
1,11118098,020092-0220,2005-04-29T04:00:00Z,Compositions and treatments for modulating kinase and/or HMG-CoA reductase,0001-01-01T00:00:00Z,"NUMERATE, INC.",2007-09-28T04:00:00Z,PHARMIX CORP.,NULL
2,11118113,020092-0220,2005-04-29T04:00:00Z,Compositions and treatments for inhibiting kinase and/or HMG-CoA reductase,0001-01-01T00:00:00Z,"NUMERATE, INC.",2007-09-28T04:00:00Z,PHARMIX CORP.,NULL
3,11469417,020092-0220,2006-08-31T04:00:00Z,COMPOSITIONS AND TREATMENTS FOR INHIBITING KINASE AND/OR HMG-COA REDUCTASE,0001-01-01T00:00:00Z,"NUMERATE, INC.",2007-09-28T04:00:00Z,PHARMIX CORP.,NULL
4,11469419,020092-0220,2006-08-31T04:00:00Z,COMPOSITIONS AND TREATMENTS FOR INHIBITING KINASE AND/OR HMG-COA REDUCTASE,0001-01-01T00:00:00Z,"NUMERATE, INC.",2007-09-28T04:00:00Z,PHARMIX CORP.,NULL
5,11469424,020092-0220,2006-12-05T04:00:00Z,COMPOSITIONS AND TREATMENTS FOR INHIBITING KINASE AND/OR HMG-COA REDUCTASE,0001-01-01T00:00:00Z,"NUMERATE, INC.",2007-09-28T04:00:00Z,PHARMIX CORP.,NULL
6,11262521,020092-0220,2005-10-28T04:00:00Z,Compositions and treatments for inhibiting kinase and/or HMG-CoA reductase,0001-01-01T00:00:00Z,"NUMERATE, INC.",2007-09-28T04:00:00Z,PHARMIX CORP.,NULL
7,11118065,020092-0220,2005-04-29T04:00:00Z,COMPOSITIONS AND TREATMENTS FOR INHIBITING KINASE AND/OR HMG-COA REDUCTASE,2007-04-03T04:00:00Z,"NUMERATE, INC.",2007-09-28T04:00:00Z,PHARMIX CORP.,7199126
8,11118064,020092-0220,2005-04-29T04:00:00Z,COMPOSITIONS AND TREATMENTS FOR INHIBITING KINASE AND/OR HMG-COA REDUCTASE,2007-01-16T04:00:00Z,"NUMERATE, INC.",2007-09-28T04:00:00Z,PHARMIX CORP.,7163945
9,11118066,020092-0220,2005-04-29T04:00:00Z,COMPOSITIONS AND TREATMENTS FOR INHIBITING KINASE AND/OR HMG-COA REDUCTASE,2007-02-27T04:00:00Z,"NUMERATE, INC.",2007-09-28T04:00:00Z,PHARMIX CORP.,7183285
10,12090434,020092-0220,2009-03-13T04:00:00Z,COMPOSITIONS AND TREATMENTS FOR INHIBITING KINASE AND/OR HMG-COA REDUCTASE,0001-01-01T00:00:00Z,"NUMERATE, INC.",2007-09-28T04:00:00Z,PHARMIX CORP.,NULL
11,11304209,020063-0499,2005-12-14T04:00:00Z,MODELING BIOLOGICAL EFFECTS OF MOLECULES USING MOLECULAR PROPERTY MODELS,2010-12-21T04:00:00Z,"NUMERATE, INC.",2007-09-28T04:00:00Z,PHARMIX CORPORATION,7856321
12,11172215,020063-0499,2005-06-29T04:00:00Z,MOLECULAR PROPERTY MODELING USING RANKING,2010-04-20T04:00:00Z,"NUMERATE, INC.",2007-09-28T04:00:00Z,PHARMIX CORPORATION,7702467
13,9523334,020061-0925,2000-03-10T04:00:00Z,METHOD AND APPARATUS FOR AUTOMATED DESIGN OF CHEMICAL SYNTHESIS ROUTES,2003-05-27T04:00:00Z,"NUMERATE, INC.",2007-09-28T04:00:00Z,PHARMIX CORPORATION,6571226
14,11172216,020061-0925,2005-06-29T04:00:00Z,ESTIMATING THE ACCURACY OF MOLECULAR PROPERTY MODELS AND PREDICTIONS,2007-03-20T04:00:00Z,"NUMERATE, INC.",2007-09-28T04:00:00Z,PHARMIX CORPORATION,7194359
15,10452006,020037-0962,2003-05-30T04:00:00Z,Method and apparatus for automated design of chemical synthesis routes,0001-01-01T00:00:00Z,"NUMERATE, INC.",2007-09-28T04:00:00Z,PHARMIX CORPORATION,NULL
16,10452481,020037-0962,2003-05-30T04:00:00Z,METHOD AND APPARATUS FOR MOLECULAR MECHANICS ANALYSIS OF MOLECULAR SYSTEMS,2009-08-18T04:00:00Z,"NUMERATE, INC.",2007-09-28T04:00:00Z,PHARMIX CORPORATION,7577553
17,10449948,020037-0962,2003-05-30T04:00:00Z,Method and apparatus for quantum mechanical analysis of molecular systems,0001-01-01T00:00:00Z,"NUMERATE, INC.",2007-09-28T04:00:00Z,PHARMIX CORPORATION,NULL
18,11074587,020037-0962,2005-03-08T04:00:00Z,Methods for molecular property modeling using virtual data,0001-01-01T00:00:00Z,"NUMERATE, INC.",2007-09-28T04:00:00Z,PHARMIX CORPORATION,NULL
19,12090434,022415-0315,2009-03-13T04:00:00Z,COMPOSITIONS AND TREATMENTS FOR INHIBITING KINASE AND/OR HMG-COA REDUCTASE,0001-01-01T00:00:00Z,"NUMERATE, INC.",2009-03-05T04:00:00Z,"GRIFFIN, JOHN",NULL
20,13082269,027232-0698,2011-04-07T04:00:00Z,ANTIBACTERIAL FLUOROQUINOLONE ANALOGS,0001-01-01T00:00:00Z,"NUMERATE, INC.",2011-11-01T04:00:00Z,"GRIFFIN, JOHN H.",NULL
21,16331928,049428-0422,2019-03-08T04:00:00Z,BICYCLIC COMPOUNDS USEFUL AS GPR120 MODULATORS,0001-01-01T00:00:00Z,"NUMERATE, INC.",2019-03-25T04:00:00Z,"RAIMUNDO, BRIAN",NULL
22,16331916,049260-0575,2019-03-08T04:00:00Z,MONOCYCLIC COMPOUNDS USEFUL AS GPR120 MODULATORS,0001-01-01T00:00:00Z,"NUMERATE, INC.",2019-03-25T04:00:00Z,"RAIMUNDO, BRIAN",NULL
23,11074587,029793-0056,2005-03-08T04:00:00Z,Methods for molecular property modeling using virtual data,0001-01-01T00:00:00Z,"LEADER VENTURES, LLC, AS AGENT",2012-12-24T04:00:00Z,"NUMERATE, INC.",NULL
24,11118066,029793-0056,2005-04-29T04:00:00Z,COMPOSITIONS AND TREATMENTS FOR INHIBITING KINASE AND/OR HMG-COA REDUCTASE,2007-02-27T04:00:00Z,"LEADER VENTURES, LLC, AS AGENT",2012-12-24T04:00:00Z,"NUMERATE, INC.",7183285
25,11118064,029793-0056,2005-04-29T04:00:00Z,COMPOSITIONS AND TREATMENTS FOR INHIBITING KINASE AND/OR HMG-COA REDUCTASE,2007-01-16T04:00:00Z,"LEADER VENTURES, LLC, AS AGENT",2012-12-24T04:00:00Z,"NUMERATE, INC.",7163945
26,11118065,029793-0056,2005-04-29T04:00:00Z,COMPOSITIONS AND TREATMENTS FOR INHIBITING KINASE AND/OR HMG-COA REDUCTASE,2007-04-03T04:00:00Z,"LEADER VENTURES, LLC, AS AGENT",2012-12-24T04:00:00Z,"NUMERATE, INC.",7199126
27,11304209,029793-0056,2005-12-14T04:00:00Z,MODELING BIOLOGICAL EFFECTS OF MOLECULES USING MOLECULAR PROPERTY MODELS,2010-12-21T04:00:00Z,"LEADER VENTURES, LLC, AS AGENT",2012-12-24T04:00:00Z,"NUMERATE, INC.",7856321
28,11172215,029793-0056,2005-06-29T04:00:00Z,MOLECULAR PROPERTY MODELING USING RANKING,2010-04-20T04:00:00Z,"LEADER VENTURES, LLC, AS AGENT",2012-12-24T04:00:00Z,"NUMERATE, INC.",7702467
29,11172216,029793-0056,2005-06-29T04:00:00Z,ESTIMATING THE ACCURACY OF MOLECULAR PROPERTY MODELS AND PREDICTIONS,2007-03-20T04:00:00Z,"LEADER VENTURES, LLC, AS AGENT",2012-12-24T04:00:00Z,"NUMERATE, INC.",7194359
30,10452481,029793-0056,2003-05-30T04:00:00Z,METHOD AND APPARATUS FOR MOLECULAR MECHANICS ANALYSIS OF MOLECULAR SYSTEMS,2009-08-18T04:00:00Z,"LEADER VENTURES, LLC, AS AGENT",2012-12-24T04:00:00Z,"NUMERATE, INC.",7577553
31,9523334,029793-0056,2000-03-10T04:00:00Z,METHOD AND APPARATUS FOR AUTOMATED DESIGN OF CHEMICAL SYNTHESIS ROUTES,2003-05-27T04:00:00Z,"LEADER VENTURES, LLC, AS AGENT",2012-12-24T04:00:00Z,"NUMERATE, INC.",6571226
