,applNum,displayId,filingDate,inventionTitle,issueDate,patAssigneeName,patAssignorExDate,patAssignorName,patNum
0,09983783,037509-0507,2001-10-25T04:00:00Z,"INDAZOLE COMPOUNDS AND PHARMACEUTICAL COMPOSITIONS FOR INHIBITING PROTEIN KINASES, AND METHODS FOR THEIR USE",2003-03-18T04:00:00Z,"AGOURON PHARMACEUTICALS, LLC",2016-01-01T04:00:00Z,"AGOURON PHARMACEUTICALS, INC.",6534524
1,10326755,037509-0507,2003-02-13T04:00:00Z,"INDAZOLE COMPOUNDS AND PHARMACEUTICAL COMPOSITIONS FOR INHIBITING PROTEIN KINASES, AND METHODS FOR THEIR USE",2005-04-26T04:00:00Z,"AGOURON PHARMACEUTICALS, LLC",2016-01-01T04:00:00Z,"AGOURON PHARMACEUTICALS, INC.",6884890
2,10639890,037509-0507,2003-08-12T04:00:00Z,"INDAZOLE COMPOUNDS AND PHARMACEUTICAL COMPOSITIONS FOR INHIBITING PROTEIN KINASES, AND METHODS FOR THEIR USE",2006-11-28T04:00:00Z,"AGOURON PHARMACEUTICALS, LLC",2016-01-01T04:00:00Z,"AGOURON PHARMACEUTICALS, INC.",7141581
3,09479896,038033-0099,2000-01-10T04:00:00Z,TRICYCLIC INHIBITORS OF POLY(ADP-RIBOSE) POLYMERASES,2002-12-17T04:00:00Z,"AGOURON PHARMACEUTICALS, LLC",2016-01-01T04:00:00Z,"AGOURON PHARMACEUTICALS, INC.",6495541
4,11004261,038033-0099,2004-12-03T04:00:00Z,TRICYCLIC INHIBITORS OF POLY(ADP-RIBOSE) POLYMERASES,2005-12-20T04:00:00Z,"AGOURON PHARMACEUTICALS, LLC",2016-01-01T04:00:00Z,"AGOURON PHARMACEUTICALS, INC.",6977298
5,11221245,038033-0099,2005-09-06T04:00:00Z,TRICYCLIC INHIBITORS OF POLY(ADP-RIBOSE) POLYMERASES,2008-09-30T04:00:00Z,"AGOURON PHARMACEUTICALS, LLC",2016-01-01T04:00:00Z,"AGOURON PHARMACEUTICALS, INC.",7429578
6,11233845,038033-0099,2005-09-21T04:00:00Z,METHOD OF PREPARING POLY(ADP-RIBOSE) POLYMERASES INHIBITORS,2008-01-29T04:00:00Z,"AGOURON PHARMACEUTICALS, LLC",2016-01-01T04:00:00Z,"AGOURON PHARMACEUTICALS, INC.",7323562
7,11233835,038033-0099,2005-09-21T04:00:00Z,"POLYMORPHIC AND AMORPHOUS FORMS OF THE PHOSPHATE SALT OF 8-FLUORO-2-{4-[(METHYLAMINO)METHYL]PHENYL}-1,3,4,5-TETRAHYDRO-6H-AZEPINO[5,4,3-CE]INDOL-6-ONE",2007-09-11T04:00:00Z,"AGOURON PHARMACEUTICALS, LLC",2016-01-01T04:00:00Z,"AGOURON PHARMACEUTICALS, INC.",7268126
0,12865149,027866-0954,2010-10-27T04:00:00Z,Fluid Container,2014-08-05T04:00:00Z,PFIZER IRELAND PHARMACEUTICALS,2011-01-31T04:00:00Z,AHP MANUFACTURING B.V.,8794459
0,12399923,041564-0393,2009-03-06T04:00:00Z,PHARMACEUTICAL COMPOSITIONS,2010-03-23T04:00:00Z,"ALPHARMA PHARMACEUTICALS, LLC",2010-10-11T04:00:00Z,"ALPHARMA PHARMACEUTICALS, LLC",7682634
1,10667570,025735-0424,2003-09-22T04:00:00Z,Sustained release opioid formulations and method of use,0001-01-01T00:00:00Z,ALPHARMA PHARMACEUTICALS LLC,2011-01-31T04:00:00Z,CREDIT SUISSE AG,NULL
2,10667676,025735-0424,2003-09-22T04:00:00Z,SEQUESTERING SUBUNIT AND RELATED COMPOSITIONS AND METHODS,2010-10-19T04:00:00Z,ALPHARMA PHARMACEUTICALS LLC,2011-01-31T04:00:00Z,CREDIT SUISSE AG,7815934
3,11820499,025735-0424,2007-06-19T04:00:00Z,ABUSE-DETERRENT MULTI-LAYER PHARMACEUTICAL COMPOSITION COMPRISING AN OPIOID ANTAGONIST AND AN OPIOID AGONIST,2012-04-17T04:00:00Z,ALPHARMA PHARMACEUTICALS LLC,2011-01-31T04:00:00Z,CREDIT SUISSE AG,8158156
4,11913699,025735-0424,2008-04-14T04:00:00Z,Morphine Sulfate Formulations,0001-01-01T00:00:00Z,ALPHARMA PHARMACEUTICALS LLC,2011-01-31T04:00:00Z,CREDIT SUISSE AG,NULL
5,11973802,025735-0424,2007-10-10T04:00:00Z,Pharmaceutical compositions,0001-01-01T00:00:00Z,ALPHARMA PHARMACEUTICALS LLC,2011-01-31T04:00:00Z,CREDIT SUISSE AG,NULL
6,12204280,025735-0424,2008-09-04T04:00:00Z,Abuse-Deterrent Pharmaceutical Compositions Comprising Agonist and Antagonist,0001-01-01T00:00:00Z,ALPHARMA PHARMACEUTICALS LLC,2011-01-31T04:00:00Z,CREDIT SUISSE AG,NULL
7,12336267,025735-0424,2008-12-16T04:00:00Z,PHARMACEUTICAL COMPOSITION,2014-01-07T04:00:00Z,ALPHARMA PHARMACEUTICALS LLC,2011-01-31T04:00:00Z,CREDIT SUISSE AG,8623418
8,12336418,025735-0424,2008-12-16T04:00:00Z,PHARMACEUTICAL COMPOSITION,0001-01-01T00:00:00Z,ALPHARMA PHARMACEUTICALS LLC,2011-01-31T04:00:00Z,CREDIT SUISSE AG,NULL
9,12337052,025735-0424,2008-12-17T04:00:00Z,Oxycodone Containing Abuse Resistant Pharmaceutical Compositions,0001-01-01T00:00:00Z,ALPHARMA PHARMACEUTICALS LLC,2011-01-31T04:00:00Z,CREDIT SUISSE AG,NULL
