,applNum,displayId,filingDate,inventionTitle,issueDate,patAssigneeName,patAssignorExDate,patAssignorName,patNum
0,15683678,044219-0318,2017-08-22T04:00:00Z,METHODS AND SYSTEMS FOR CALCULATING FREE ENERGY DIFFERENCES USING AN ALCHEMICAL RESTRAINT POTENTIAL,0001-01-01T00:00:00Z,"SCHRODINGER, INC.",2017-09-07T04:00:00Z,"WANG, LINGLE",NULL
1,15412976,045395-0858,2017-01-23T04:00:00Z,THERAPEUTIC COMPOUNDS AND COMPOSITIONS,2018-07-24T04:00:00Z,"SCHRODINGER, INC.",2017-12-09T04:00:00Z,"YAN, SHUNQI",10029987
2,12826630,044544-0246,2010-06-29T04:00:00Z,THERAPEUTIC COMPOUNDS AND COMPOSITIONS,2014-07-22T04:00:00Z,"SCHRODINGER, INC.",2017-12-09T04:00:00Z,"YAN, SHUNQI",8785450
3,15789588,049062-0116,2017-10-20T04:00:00Z,TYK2 INHIBITORS AND USES THEREOF,0001-01-01T00:00:00Z,"SCHRODINGER, INC.",2018-07-02T04:00:00Z,"GREENWOOD, JEREMY ROBERT",NULL
4,15783250,048306-0430,2017-10-13T04:00:00Z,TYK2 INHIBITORS AND USES THEREOF,2019-06-18T04:00:00Z,"SCHRODINGER, INC.",2018-07-02T04:00:00Z,"GREENWOOD, JEREMY ROBERT",10323036
5,15879588,048306-0430,2018-01-25T04:00:00Z,SYSTEMS AND METHODS FOR DEFINING AND SECURELY SHARING OBJECTS IN PREVENTING DATA BREACH OR EXFILTRATION,0001-01-01T00:00:00Z,"SCHRODINGER, INC.",2018-07-02T04:00:00Z,"GREENWOOD, JEREMY ROBERT",NULL
6,15557731,047972-0902,2017-09-12T04:00:00Z,"ENHANCED ATRA-RELATED COMPOUNDS FOR THE TREATMENT OF PROLIFERATIVE DISEASES, AUTOIMMUNE DISEASES, AND ADDICTION CONDITIONS",0001-01-01T00:00:00Z,"SCHRODINGER, INC.",2018-12-03T04:00:00Z,"HALL, MICHELLE LYNN",NULL
7,15557731,047971-0324,2017-09-12T04:00:00Z,"ENHANCED ATRA-RELATED COMPOUNDS FOR THE TREATMENT OF PROLIFERATIVE DISEASES, AUTOIMMUNE DISEASES, AND ADDICTION CONDITIONS",0001-01-01T00:00:00Z,"SCHRODINGER, INC.",2018-12-03T04:00:00Z,"HALL, MICHELLE LYNN",NULL
8,15783250,049059-0575,2017-10-13T04:00:00Z,TYK2 INHIBITORS AND USES THEREOF,2019-06-18T04:00:00Z,"SCHRODINGER, INC.",2019-04-19T04:00:00Z,"MONDAL, SAYAN",10323036
9,15789588,049059-0575,2017-10-20T04:00:00Z,TYK2 INHIBITORS AND USES THEREOF,0001-01-01T00:00:00Z,"SCHRODINGER, INC.",2019-04-19T04:00:00Z,"MONDAL, SAYAN",NULL
10,16461849,049301-0499,2019-05-17T05:00:00Z,Factor XIIa Inhibitors,0001-01-01T00:00:00Z,"SCHRODINGER, LLC",2017-07-12T05:00:00Z,"SCHRODINGER, INC.",NULL
11,15412976,045798-0604,2017-01-23T04:00:00Z,THERAPEUTIC COMPOUNDS AND COMPOSITIONS,2018-07-24T04:00:00Z,"AGIOS PHARMACEUTICALS, INC.",2017-12-20T04:00:00Z,"SCHRODINGER, INC.",10029987
12,12826630,045011-0890,2010-06-29T04:00:00Z,THERAPEUTIC COMPOUNDS AND COMPOSITIONS,2014-07-22T04:00:00Z,"AGIOS PHARMACEUTICALS, INC.",2017-12-20T04:00:00Z,"SCHRODINGER, INC.",8785450
13,15783250,048305-0129,2017-10-13T04:00:00Z,TYK2 INHIBITORS AND USES THEREOF,2019-06-18T04:00:00Z,"SCHRODINGER, L.L.C.",2018-08-15T04:00:00Z,"SCHRODINGER, INC.",10323036
14,15789588,049062-0202,2017-10-20T04:00:00Z,TYK2 INHIBITORS AND USES THEREOF,0001-01-01T00:00:00Z,"SCHRODINGER, L.L.C.",2018-08-15T04:00:00Z,"SCHRODINGER, INC.",NULL
15,15879588,048305-0181,2018-01-25T04:00:00Z,SYSTEMS AND METHODS FOR DEFINING AND SECURELY SHARING OBJECTS IN PREVENTING DATA BREACH OR EXFILTRATION,0001-01-01T00:00:00Z,"SCHRODINGER, L.C.C.",2018-08-15T04:00:00Z,"SCHRODINGER, INC.",NULL
16,15557731,047972-0960,2017-09-12T04:00:00Z,"ENHANCED ATRA-RELATED COMPOUNDS FOR THE TREATMENT OF PROLIFERATIVE DISEASES, AUTOIMMUNE DISEASES, AND ADDICTION CONDITIONS",0001-01-01T00:00:00Z,"SCHRODINGER, L.L.C.",2018-12-11T04:00:00Z,"SCHRODINGER, INC.",NULL
17,15557731,047971-0357,2017-09-12T04:00:00Z,"ENHANCED ATRA-RELATED COMPOUNDS FOR THE TREATMENT OF PROLIFERATIVE DISEASES, AUTOIMMUNE DISEASES, AND ADDICTION CONDITIONS",0001-01-01T00:00:00Z,"SCHRODINGER, L.L.C.",2018-12-11T04:00:00Z,"SCHRODINGER, INC.",NULL
